id,rid, cuisine
0,0,Mediterranean
1,0,Italian
2,0,North Indian
3,0,Continental
4,1,Modern Indian
5,1,European
6,1,Pizza
7,1,Grill
8,2,Finger Food
9,2,Continental
10,3,Pizza
11,4,Modern Indian
12,5,Mexican
13,5,Italian
14,5,North Indian
15,5,Japanese
16,5,Asian
17,6,Healthy Food
18,6,Continental
19,6,Italian
20,6,North Indian
21,7,European
22,7,Continental
23,7,Indian
24,7,Asian
25,8,North Indian
26,8,Continental
27,9,Cafe
28,9,Fast Food
29,10,North Indian
30,10,Chinese
31,10,Continental
32,10,American
33,11,North Indian
34,11,Mughlai
35,11,South Indian
36,12,Spanish
37,12,Italian
38,12,European
39,12,Lebanese
40,13,Fast Food
41,13,Burger
42,14,Asian
43,14,Fast Food
44,14,Desserts
45,15,Continental
46,15,Italian
47,15,North Indian
48,16,Continental
49,16,Seafood
50,16,Fast Food
51,16,Desserts
52,16,Italian
53,16,Finger Food
54,17,Asian
55,17,North Indian
56,17,Italian
57,17,Lebanese
58,17,Seafood
59,18,Continental
60,18,North Indian
61,19,Continental
62,19,Fast Food
63,19,North Indian
64,19,Salad
65,19,European
66,20,North Indian
67,20,Japanese
68,21,Italian
69,21,Pizza
70,21,Salad
71,22,Chinese
72,22,Japanese
73,22,Asian
74,22,North Indian
75,23,Modern Indian
76,24,Lebanese
77,24,European
78,24,Mediterranean
79,24,Arabian
80,24,Cafe
81,25,Seafood
82,25,Modern Australian
83,25,Grill
84,26,North Indian
85,26,Turkish
86,26,Lebanese
87,26,Greek
88,27,Asian
89,27,Cantonese
90,27,Chinese
91,27,Dim Sum
92,27,Tea
93,27,Yum Cha
94,28,Finger Food
95,29,Italian
96,29,Pizza
97,30,Continental
98,30,Finger Food
99,30,Fusion
100,31,Mediterranean
101,31,European
102,31,Mughlai
103,31,Finger Food
104,32,Japanese
105,32,Sushi
106,32,Finger Food
107,32,Indian
108,32,Asian
109,33,Finger Food
110,33,Fast Food
111,33,Pizza
112,34,Beverages
113,35,Modern Indian
114,35,Italian
115,35,American
116,36,North Indian
117,36,Italian
118,36,Chinese
119,36,Continental
120,37,Modern Indian
121,38,Asian
122,38,Italian
123,38,Finger Food
124,39,North Indian
125,39,South Indian
126,40,North Indian
127,40,Mexican
128,40,Italian
129,40,Continental
130,41,Seafood
131,42,Continental
132,42,Lebanese
133,42,North Indian
134,42,Mediterranean
135,42,European
136,42,Italian
137,42,Pan Asian
138,42,Asian
139,43,Pizza
140,43,Italian
141,44,Desserts
142,45,Cafe
143,45,Desserts
144,46,North Indian
145,46,Mughlai
146,46,Chinese
147,47,Fast Food
148,48,European
149,48,Continental
150,48,Mediterranean
151,49,European
152,49,Pizza
153,49,Sushi
154,49,Burger
155,49,Grill
156,50,Italian
157,50,Mediterranean
158,50,Salad
159,51,North Indian
160,51,Mughlai
161,52,North Indian
162,52,Chinese
163,52,Italian
164,52,Mexican
165,53,Continental
166,53,Thai
167,53,Italian
168,53,Mexican
169,53,Mediterranean
170,54,Modern Indian
171,55,American
172,55,Continental
173,55,Italian
174,55,Finger Food
175,56,Cafe
176,56,Italian
177,56,Salad
178,56,Desserts
179,56,Beverages
180,57,Finger Food
181,58,Thai
182,59,Goan
183,59,Indian
184,59,Continental
185,60,American
186,60,North Eastern
187,60,Chinese
188,60,Finger Food
189,61,Cafe
190,61,American
191,61,Desserts
192,62,Continental
193,63,American
194,63,Chinese
195,63,Mughlai
196,63,Italian
197,64,Mexican
198,64,Italian
199,64,Finger Food
200,64,Greek
201,65,Finger Food
202,65,Continental
203,66,Sushi
204,66,Asian
205,66,Chinese
206,66,Thai
207,66,Japanese
208,67,Parsi
209,67,Iranian
210,67,Indian
211,68,North Indian
212,68,Chinese
213,68,Continental
214,69,Desserts
215,70,Salad
216,70,Healthy Food
217,70,Juices
218,71,Chinese
219,71,Cantonese
220,71,Asian
221,71,Dim Sum
222,72,American
223,72,North Indian
224,72,Asian
225,73,Finger Food
226,73,North Indian
227,73,Italian
228,74,Finger Food
229,75,Pizza
230,76,Modern Indian
231,77,North Indian
232,77,Continental
233,77,Indian
234,78,Fast Food
235,78,Italian
236,78,Beverages
237,79,Mexican
238,79,Italian
239,79,North Indian
240,79,Japanese
241,79,Asian
242,80,Modern Indian
243,81,Finger Food
244,82,Modern Indian
245,83,North Indian
246,83,Mexican
247,83,Italian
248,83,Continental
249,84,European
250,84,Pizza
251,84,Sushi
252,84,Burger
253,84,Grill
254,85,North Indian
255,86,Asian
256,86,North Indian
257,86,Continental
258,86,Desserts
259,87,Continental
260,87,Fast Food
261,87,Cafe
262,87,Sandwich
263,87,Chinese
264,87,Salad
265,87,Modern Indian
