id, name, latitude, longitude, address, area, city,cost, rating, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
0,Razzberry Rhinoceros,19.10298865,72.82551929,"JuhuHotel, 39/2, Juhu Tara, Juhu, Mumbai",Juhu,Mumbai,2500,3.5,no,yes,yes,yes,yes,no
1,JLWA,19.06033885,72.83616632,"Linking Road, Bandra West3rd Floor, VN Sphere Turner,","Linking Road, Bandra West",Mumbai,1600,4.5,no,yes,yes,no,yes,no
2,Tamasha,19.005862,72.827454,"Ground Floor, Victoria House, E.B Marg,Lower Parel, Mumbai",Lower Parel,Mumbai,1800,4.1,no,yes,yes,no,yes,no
3,Joey's Pizza,19.17818233,72.83469178,"Shop 1, Plot D, Samruddhi Complex, Chincholi Bunder Road, Mindspace,Malad West, Mumbai",Malad West,Mumbai,800,4.6,yes,no,no,no,no,no
4,HITCHKI,19.1198717,72.907044,"5, Transocean, Hiranandani Business Park, Lake Boulevard Road,Powai, Mumbai",Powai,Mumbai,1200,4,no,yes,yes,yes,yes,no
5,1 Above,19.00468947,72.82636285,"Floor 2, Kamala Trade House, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel,Mumbai,3000,4.1,no,yes,yes,no,yes,no
6,Bombay Adda,19.07576139,72.83429984,"8th Floor, Nike Showroom Showroom Linking Road,Santacruz West, Mumbai",Santacruz West,Mumbai,1800,3.9,no,yes,yes,yes,yes,yes
7,Ab Celestial,19.04447688,72.82802615,"Reclamation, Bandra WestBandra - Worli Sea Link,","Reclamation, Bandra West",Mumbai,5000,3.7,no,no,yes,no,no,yes
8,The Stadium Bar,19.17431322,72.84460019,"3rd Floor, DLH Park, Near MTNL Signal,Swami Vivekanand Road, Sunder Nagar,Goregaon West, Mumbai",Goregaon West,Mumbai,1850,3.8,no,yes,yes,yes,yes,no
9,Prithvi Cafe,19.1061732,72.8258492,"Prithvi Theatre, Janki Kutir,JuhuChurch Road, Juhu, Mumbai",Juhu,Mumbai,700,4.5,no,no,no,no,no,no
10,BKC | DIVE.,19.072703,72.870102,"Ground floor, Pinnacle Corporate Park, Next to Trade Centre, Opposite MTNL Office,Bandra Kurla Complex, Mumbai - 400051",Bandra Kurla Complex,Mumbai,1000,4,yes,yes,yes,no,no,no
11,Mirchi And Mime,19.1198814,72.9070007,"Transocean House, Lake Boulevard, Hiranandani Business Park,Powai, Mumbai",Powai,Mumbai,1500,4.9,no,no,yes,no,yes,no
12,Aer - Four Seasons,18.9939135,72.8201592,"Four Seasons Hotel, 1/136, E Moses Road,Worli, Mumbai",Worli,Mumbai,4000,4.4,no,yes,no,yes,yes,no
13,Jimis Burger,19.13955814,72.83338185,"Andheri Lokhandwala, Andheri WestShop B2, Shree Siddhivinayak Plaza, Off link Road, Opposite Citi Mall,","Andheri Lokhandwala, Andheri West",Mumbai,700,4.4,yes,no,no,no,no,no
14,145 Bandra,19.060312,72.82943,"Pali Hill, Bandra West1st floor, HSBC Building, Off Turner Road,","Pali Hill, Bandra West",Mumbai,1400,4.1,no,yes,yes,yes,yes,no
15,Barrel & Co,19.13500236,72.8321876,"Ground Floor, Kotia Nirman, Near Fun Republic, New Link Road,Veera Desai Area, Mumbai",Veera Desai Area,Mumbai,1800,3.9,no,no,yes,yes,yes,no
16,Raasta,19.06826926,72.83803146,"4/5 Floor, Rohan Plaza, Ram Krishan Nagar, Road 5,Khar, Mumbai",Khar,Mumbai,1500,4.1,yes,yes,yes,no,yes,yes
17,Boardwalk by Flamboyante,18.806071,72.882511,"Mandwa Jetty Road, Mandvi,Alibaug, Mumbai",Alibaug,Mumbai,2000,3.6,no,yes,yes,yes,no,no
18,Bombay Cocktail Bar,19.13842958,72.83323634,"Andheri Lokhandwala, Andheri WestDeluxe House, Ground Floor, Plot B-50, Opposite New Link Road,","Andheri Lokhandwala, Andheri West",Mumbai,1500,4,no,no,yes,no,no,no
19,Glocal Junction,18.989243,72.815088,"Ground Floor, Nehru Centre, Dr. Annie Besant Road, Opposite Nehru Planitorium,Worli, Mumbai",Worli,Mumbai,1500,4.2,yes,yes,yes,yes,yes,no
20,A Bar Called Life,19.1157307,72.82789003,"30, Devle Road, Near Chandan Police Choky,JuhuCircle, Juhu, Mumbai",Juhu,Mumbai,1400,4.2,no,yes,yes,no,yes,no
21,Pizza By The Bay,18.93341116,72.82394987,"143, Soona Mahal, Marine Drive,Churchgate, Mumbai",Churchgate,Mumbai,2000,4,yes,no,yes,no,yes,no
22,Global Fusion,19.10743126,72.88293332,"B 1, Times Square Tech Park, Andheri Kurla Road, Sakinaka Junction, Andheri East,Marol, Mumbai",Marol, Mumbai,3500,4.3,no,no,yes,no,yes,no
23,Farzi Cafe,19.0035172,72.82764997,"Kamala Mills, Near Radio Mirchi Office,Lower Parel, Mumbai",Lower Parel, Mumbai,1500,4.2,no,no,yes,no,yes,no
24,Opa! Bar & Cafe - The Peninsula Grand Hotel,19.10235016,72.88862997,"Hotel Peninsula Grand, Rooftop, OppositeSakinakaMetro Station, Andheri Airport Road, Sakinaka, Mumbai",Sakinaka, Andheri Airport Road,1700,3.9,no,yes,yes,no,yes,yes
25,ESTELLA,19.091441,72.8253121,"Ground Floor, Nichani Kutir Building, Opposite HDFC Bank,JuhuTara Road, Juhu, Mumbai",Juhu, Juhu,2500,4.6,no,yes,yes,yes,yes,no
26,Sigree Global Grill,19.11633861,72.90992606,"101, 1st Floor, Ventura Building, Hiranandani Business Park, Central Avenue Road,Powai, Mumbai",Powai, Mumbai,2000,3.9,yes,no,yes,no,no,no
27,Yauatcha,19.0611141,72.8627174,"Raheja Towers,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,2800,4.5,no,yes,yes,no,yes,no
28,Mojo's Bistro,19.00405895,72.82717656,"Level 2, Kamla Trade House, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,1200,4.3,no,yes,yes,no,yes,yes
29,The Bandra Project by PizzaExpress,19.060416,72.829326,"Pali Hill, Bandra WestC – 534A, Ground Floor, HSBC Building, Dr. Ambedkar Road,","Pali Hill, Bandra West", Mumbai,1600,4.2,yes,no,yes,no,yes,no
30,Kube,19.130785,72.831045,"Andheri Lokhandwala, Andheri WestFloor 5, Crystal Point Mall, Azad Nagar, Link Road,","Andheri Lokhandwala, Andheri West", Mumbai,1500,4.1,no,yes,yes,yes,yes,yes
31,Verbena - BrewPub & SkyGarden,19.0058883,72.8264494,"4th Floor, Trade View Building, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,2000,3.8,no,yes,yes,yes,yes,yes
32,Dome - InterContinental,18.9349204,72.82411013,"Hotel InterContinental, 135,Churchgate, Mumbai",Churchgate, Mumbai,3500,4.1,no,yes,yes,no,yes,yes
33,R' ADDA,19.1093,72.825451,"Ramee Guestline Hotel, 462, A B Nair Road,Juhu, Mumbai",Juhu, Mumbai,1200,4,no,yes,yes,yes,yes,no
34,Keventers,19.07068989,72.82289475,"Carter Road, Bandra WestShop 9, Building B, Gagangiri Premises Co-Operative Society Ltd.,","Carter Road, Bandra West", Mumbai,200,3.8,no,no,no,no,no,no
35,Toit Brewery - Taproom & Kitchen,19.00067,72.829748,"Mathuradas Mill Compound, Senapati Bapat Marg, Lower ParelMumbai,Lower Parel, Mumbai",Lower Parel, Mumbai,2000,3.6,no,yes,yes,yes,yes,no
36,Rude Lounge,19.11329046,72.90937386,"8th Floor, B Wing, Supreme Business Park, Hiranandani Gardens,Powai, Mumbai",Powai, Mumbai,1600,3.7,no,yes,yes,no,yes,no
37,The Bombay Canteen,19.00316849,72.82763891,"Ground Floor, Process House, Kamala Mills Compound, Near Radio Mirchi Office, S.B. Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,2000,4.2,no,no,yes,no,yes,no
38,Door No.1 - The Retro Bar,19.04911818,72.8286605,"Reclamation, Bandra WestShop 1 and 2 , Ankleshwar, ONGC  Colony,","Reclamation, Bandra West", Mumbai,1500,4,no,yes,yes,yes,yes,no
