id,rid, day, timing ,starttime,endtime
0,0,Mon,12 Noon to 1:30 AM,12:00 PM,1:30 AM
1,0,Tue,12 Noon to 1:30 AM,12:00 PM,1:30 AM
2,0,Wed,12 Noon to 1:30 AM,12:00 PM,1:30 AM
3,0,Thu,12 Noon to 1:30 AM,12:00 PM,1:30 AM
4,0,Fri,12 Noon to 1:30 AM,12:00 PM,1:30 AM
5,0,Sat,12 Noon to 1:30 AM,12:00 PM,1:30 AM
6,0,Sun,12 Noon to 1:30 AM,12:00 PM,1:30 AM
7,1,Mon,1 PM to 1 AM,1:00 PM,1:00 AM
8,1,Tue,1 PM to 1 AM,1:00 PM,1:00 AM
9,1,Wed,1 PM to 1 AM,1:00 PM,1:00 AM
10,1,Thu,1 PM to 1 AM,1:00 PM,1:00 AM
11,1,Fri,1 PM to 1 AM,1:00 PM,1:00 AM
12,1,Sat,1 PM to 1 AM,1:00 PM,1:00 AM
13,1,Sun,1 PM to 1 AM,1:00 PM,1:00 AM
14,2,Mon,12 Noon to 1 AM,12:00 PM,1:00 AM
15,2,Tue,12 Noon to 1 AM,12:00 PM,1:00 AM
16,2,Wed,12 Noon to 1 AM,12:00 PM,1:00 AM
17,2,Thu,12 Noon to 1 AM,12:00 PM,1:00 AM
18,2,Fri,12 Noon to 1 AM,12:00 PM,1:00 AM
19,2,Sat,12 Noon to 1 AM,12:00 PM,1:00 AM
20,2,Sun,12 Noon to 1 AM,12:00 PM,1:00 AM
21,3,Mon,11 AM to 12:30 AM,11:00 AM,12:30 AM
22,3,Tue,11 AM to 12:30 AM,11:00 AM,12:30 AM
23,3,Wed,11 AM to 12:30 AM,11:00 AM,12:30 AM
24,3,Thu,11 AM to 12:30 AM,11:00 AM,12:30 AM
25,3,Fri,11 AM to 12:30 AM,11:00 AM,12:30 AM
26,3,Sat,11 AM to 12:30 AM,11:00 AM,12:30 AM
27,3,Sun,11 AM to 12:30 AM,11:00 AM,12:30 AM
28,4,Mon,12 Noon to 1:30 AM,12:00 PM,1:30 AM
29,4,Tue,12 Noon to 1:30 AM,12:00 PM,1:30 AM
30,4,Wed,12 Noon to 1:30 AM,12:00 PM,1:30 AM
31,4,Thu,12 Noon to 1:30 AM,12:00 PM,1:30 AM
32,4,Fri,12 Noon to 1:30 AM,12:00 PM,1:30 AM
33,4,Sat,12 Noon to 1:30 AM,12:00 PM,1:30 AM
34,4,Sun,12 Noon to 1:30 AM,12:00 PM,1:30 AM
35,5,Mon,12:30 PM to 1:30 AM,12:30 PM,1:30 AM
36,5,Tue,12:30 PM to 1:30 AM,12:30 PM,1:30 AM
37,5,Wed,12:30 PM to 1:30 AM,12:30 PM,1:30 AM
38,5,Thu,12:30 PM to 1:30 AM,12:30 PM,1:30 AM
39,5,Fri,12:30 PM to 1:30 AM,12:30 PM,1:30 AM
40,5,Sat,12:30 PM to 1:30 AM,12:30 PM,1:30 AM
41,5,Sun,12:30 PM to 1:30 AM,12:30 PM,1:30 AM
42,6,Mon,12 Noon to 1 AM,12:00 PM,1:00 AM
43,6,Tue,12 Noon to 1 AM,12:00 PM,1:00 AM
44,6,Wed,12 Noon to 1 AM,12:00 PM,1:00 AM
45,6,Thu,12 Noon to 1 AM,12:00 PM,1:00 AM
46,6,Fri,12 Noon to 1 AM,12:00 PM,1:00 AM
47,6,Sat,12 Noon to 1 AM,12:00 PM,1:00 AM
48,6,Sun,12 Noon to 1 AM,12:00 PM,1:00 AM
49,7,Mon,6 PM to 1:30 AM,6:00 PM,1:30 AM
